,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.84273749)","(126, 0, 0.81442252)","(21, 0, 0.85931899)","(22, 0, 0.75160861)","(40, 0, 0.83757381)","(174, 0, 0.87876212)","(210, 0, 0.77246551)","(166, 0, 0.83411603)","(171, 0, 0.5817086)","(247, 0, 0.8603201)","(21, 0, 0.93547089)","(136, 0, 0.84378058)","(9, 0, 0.62114806)","(207, 0, 0.8157035)","(79, 0, 0.76280796)","(60, 0, 0.79079605)"
1,"(42, 0, 0.66969887)","(127, 0, 0.58189741)","(20, 0, 0.57526879)","(23, 0, 0.63695945)","(41, 0, 0.62024299)","(175, 0, 0.64816024)","(211, 0, 0.61924379)","(167, 0, 0.64370183)","(170, 0, 0.57285315)","(246, 0, 0.62626561)","(20, 0, 0.5994257)","(137, 0, 0.59722524)","(8, 0, 0.62022635)","(206, 0, 0.63993857)","(78, 0, 0.60272166)","(61, 0, 0.57339647)"
2,"(169, 0, 0.26681399)","(252, 0, 0.31025826)","(3, 0, 0.27682223)","(149, 0, 0.30025537)","(170, 0, 0.28623079)","(44, 0, 0.28572872)","(172, 0, 0.24898599)","(213, 0, 0.26111405)","(219, 0, 0.24184622)","(117, 0, 0.28061012)","(8, 0, 0.2604538)","(10, 0, 0.26741041)","(138, 0, 0.25142063)","(241, 0, 0.26616154)","(52, 0, 0.25926147)","(201, 0, 0.32737199)"
3,"(110, 0, 0.24214204)","(197, 0, 0.29056773)","(227, 0, 0.27615892)","(0, 0, 0.26924667)","(48, 0, 0.23333769)","(184, 0, 0.26428425)","(100, 0, 0.24510905)","(112, 0, 0.26077895)","(16, 0, 0.22396618)","(116, 0, 0.26888093)","(36, 0, 0.22783814)","(171, 0, 0.25762829)","(120, 0, 0.22434341)","(77, 0, 0.26572631)","(70, 0, 0.25777008)","(204, 0, 0.26205903)"
4,"(32, 0, 0.23903521)","(55, 0, 0.25815605)","(150, 0, 0.27150079)","(91, 0, 0.26810204)","(234, 0, 0.23331839)","(220, 0, 0.24135565)","(145, 0, 0.243065)","(153, 0, 0.26027592)","(73, 0, 0.22381754)","(193, 0, 0.24557016)","(62, 0, 0.22229306)","(196, 0, 0.23947595)","(129, 0, 0.22342237)","(240, 0, 0.25352949)","(233, 0, 0.25372876)","(52, 0, 0.26056983)"
5,"(150, 0, 0.23615643)","(218, 0, 0.25739464)","(88, 0, 0.24215069)","(45, 0, 0.26767845)","(236, 0, 0.2322249)","(145, 0, 0.23623824)","(128, 0, 0.2412074)","(63, 0, 0.25214205)","(149, 0, 0.22182787)","(12, 0, 0.23987963)","(152, 0, 0.22198821)","(236, 0, 0.23451195)","(119, 0, 0.22163004)","(196, 0, 0.24698612)","(115, 0, 0.23487372)","(158, 0, 0.25706426)"
6,"(255, 0, 0.23402703)","(183, 0, 0.2539384)","(197, 0, 0.24205368)","(148, 0, 0.25345476)","(6, 0, 0.22803892)","(162, 0, 0.23023915)","(24, 0, 0.23504001)","(162, 0, 0.24578794)","(152, 0, 0.22111933)","(248, 0, 0.23940756)","(151, 0, 0.21818648)","(131, 0, 0.23260582)","(63, 0, 0.21979024)","(185, 0, 0.24365279)","(89, 0, 0.234018)","(19, 0, 0.25254368)"
7,"(20, 0, 0.2269976)","(30, 0, 0.25033048)","(82, 0, 0.23793033)","(19, 0, 0.24495052)","(134, 0, 0.22748896)","(41, 0, 0.22670364)","(155, 0, 0.23444467)","(118, 0, 0.24562322)","(85, 0, 0.21192861)","(61, 0, 0.23507583)","(135, 0, 0.21735803)","(234, 0, 0.22619165)","(38, 0, 0.21097495)","(238, 0, 0.24210542)","(113, 0, 0.23367576)","(91, 0, 0.25202193)"
8,"(13, 0, 0.22515411)","(65, 0, 0.24821332)","(137, 0, 0.2365059)","(218, 0, 0.24370129)","(208, 0, 0.2271253)","(242, 0, 0.22566925)","(82, 0, 0.23261585)","(36, 0, 0.24503689)","(36, 0, 0.21138308)","(112, 0, 0.23502673)","(174, 0, 0.21716311)","(51, 0, 0.2248052)","(40, 0, 0.2085348)","(58, 0, 0.23700839)","(32, 0, 0.23026931)","(129, 0, 0.2499003)"
