,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,192,54,92,239,67,162,227,174,37,242,231,42,118,17,243,83
0,"(255, 0, 1.)","(250, 0, 1.)","(255, 0, 1.)","(167, 255, nan)","(255, 0, 1.)","(255, 0, 1.)","(72, 255, nan)","(180, 255, nan)","(255, 0, 1.)","(254, 0, 1.)","(254, 0, 1.)","(49, 255, nan)","(253, 255, nan)","(240, 255, nan)","(9, 255, nan)","(240, 255, nan)"
1,"(252, 0, 1.)","(245, 0, 1.)","(249, 0, 1.)","(105, 255, nan)","(252, 0, 1.)","(250, 0, 1.)","(255, 0, 1.)","(8, 255, nan)","(253, 0, 1.)","(253, 0, 1.)","(253, 0, 1.)","(254, 0, 1.)","(141, 255, nan)","(255, 0, 1.)","(254, 0, 1.)","(68, 255, nan)"
2,"(248, 0, 1.)","(240, 0, 1.)","(246, 0, 1.)","(255, 0, 1.)","(251, 0, 1.)","(244, 0, 1.)","(251, 0, 1.)","(253, 0, 1.)","(249, 0, 1.)","(252, 0, 1.)","(248, 0, 1.)","(252, 0, 1.)","(251, 0, 1.)","(252, 0, 1.)","(252, 0, 1.)","(38, 255, nan)"
3,"(245, 0, 1.)","(239, 0, 1.)","(245, 0, 1.)","(251, 0, 1.)","(250, 0, 1.)","(243, 0, 1.)","(247, 0, 1.)","(248, 0, 1.)","(248, 0, 1.)","(246, 0, 1.)","(247, 0, 1.)","(249, 0, 1.)","(250, 0, 1.)","(251, 0, 1.)","(251, 0, 1.)","(255, 0, 1.)"
4,"(241, 0, 1.)","(238, 0, 1.)","(242, 0, 1.)","(249, 0, 1.)","(248, 0, 1.)","(237, 0, 1.)","(245, 0, 1.)","(246, 0, 1.)","(243, 0, 1.)","(245, 0, 1.)","(239, 0, 1.)","(246, 0, 1.)","(249, 0, 1.)","(248, 0, 1.)","(247, 0, 1.)","(248, 0, 1.)"
5,"(240, 0, 1.)","(237, 0, 1.)","(241, 0, 1.)","(248, 0, 1.)","(245, 0, 1.)","(234, 0, 1.)","(244, 0, 1.)","(244, 0, 1.)","(242, 0, 1.)","(242, 0, 1.)","(231, 0, 1.)","(240, 0, 1.)","(248, 0, 1.)","(246, 0, 1.)","(246, 0, 1.)","(247, 0, 1.)"
6,"(236, 0, 1.)","(236, 0, 1.)","(237, 0, 1.)","(247, 0, 1.)","(241, 0, 1.)","(233, 0, 1.)","(236, 0, 1.)","(243, 0, 1.)","(238, 0, 1.)","(240, 0, 1.)","(228, 0, 1.)","(234, 0, 1.)","(247, 0, 1.)","(243, 0, 1.)","(245, 0, 1.)","(245, 0, 1.)"
7,"(235, 0, 1.)","(235, 0, 1.)","(236, 0, 1.)","(246, 0, 1.)","(239, 0, 1.)","(229, 0, 1.)","(235, 0, 1.)","(241, 0, 1.)","(232, 0, 1.)","(239, 0, 1.)","(226, 0, 1.)","(233, 0, 1.)","(246, 0, 1.)","(239, 0, 1.)","(244, 0, 1.)","(243, 0, 1.)"
8,"(234, 0, 1.)","(234, 0, 1.)","(233, 0, 1.)","(245, 0, 1.)","(236, 0, 1.)","(228, 0, 1.)","(233, 0, 1.)","(237, 0, 1.)","(230, 0, 1.)","(238, 0, 1.)","(225, 0, 1.)","(228, 0, 1.)","(245, 0, 1.)","(237, 0, 1.)","(242, 0, 1.)","(239, 0, 1.)"
