,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.85157685)","(126, 0, 0.82366129)","(21, 0, 0.82034837)","(22, 0, 0.77487826)","(40, 0, 0.88699181)","(174, 0, 0.81961249)","(210, 0, 0.77071799)","(166, 0, 0.83143588)","(171, 0, 0.62390884)","(247, 0, 0.86515423)","(21, 0, 0.90721556)","(136, 0, 0.86035895)","(9, 0, 0.6827329)","(207, 0, 0.795746)","(79, 0, 0.75688623)","(60, 0, 0.83578314)"
1,"(42, 0, 0.72851303)","(127, 0, 0.69615367)","(20, 0, 0.68113217)","(23, 0, 0.67303058)","(41, 0, 0.70776254)","(175, 0, 0.60241279)","(211, 0, 0.65673527)","(167, 0, 0.66660702)","(170, 0, 0.58046024)","(246, 0, 0.68394399)","(20, 0, 0.61287639)","(137, 0, 0.57386623)","(8, 0, 0.5941461)","(206, 0, 0.63680239)","(78, 0, 0.53155102)","(61, 0, 0.66022681)"
2,"(10, 0, 0.44292166)","(139, 0, 0.501705)","(12, 0, 0.52227532)","(7, 0, 0.47640379)","(206, 0, 0.4774998)","(45, 0, 0.47574447)","(151, 0, 0.46233269)","(116, 0, 0.45660543)","(94, 0, 0.47593369)","(46, 0, 0.51536916)","(103, 0, 0.49214085)","(43, 0, 0.47298627)","(198, 0, 0.43910535)","(250, 0, 0.47055475)","(67, 0, 0.50034971)","(214, 0, 0.47908492)"
3,"(11, 0, 0.43304292)","(83, 0, 0.47139012)","(35, 0, 0.46637512)","(2, 0, 0.46755704)","(223, 0, 0.4606371)","(2, 0, 0.4669761)","(14, 0, 0.4447965)","(65, 0, 0.45232476)","(231, 0, 0.47166164)","(228, 0, 0.47251297)","(231, 0, 0.46968201)","(21, 0, 0.43995553)","(192, 0, 0.41787523)","(142, 0, 0.45636401)","(168, 0, 0.43498355)","(202, 0, 0.4543908)"
4,"(132, 0, 0.43212768)","(64, 0, 0.46547197)","(219, 0, 0.4598359)","(209, 0, 0.46192932)","(101, 0, 0.43824462)","(194, 0, 0.4357432)","(185, 0, 0.4361553)","(60, 0, 0.44706895)","(16, 0, 0.46430298)","(51, 0, 0.4564252)","(48, 0, 0.46265493)","(211, 0, 0.43302156)","(77, 0, 0.41526063)","(155, 0, 0.44287675)","(231, 0, 0.42930309)","(227, 0, 0.44088238)"
5,"(103, 0, 0.43020023)","(111, 0, 0.4447406)","(16, 0, 0.45716899)","(117, 0, 0.44208122)","(241, 0, 0.41932832)","(206, 0, 0.43434154)","(207, 0, 0.4352649)","(75, 0, 0.44694144)","(111, 0, 0.45077401)","(13, 0, 0.45378098)","(95, 0, 0.45045554)","(237, 0, 0.43044018)","(124, 0, 0.41499853)","(89, 0, 0.43847816)","(200, 0, 0.4292765)","(251, 0, 0.43701277)"
6,"(246, 0, 0.42317852)","(154, 0, 0.43830118)","(165, 0, 0.4530803)","(155, 0, 0.44088774)","(171, 0, 0.41881469)","(197, 0, 0.42787815)","(5, 0, 0.42865389)","(225, 0, 0.41959967)","(110, 0, 0.45030882)","(108, 0, 0.4339171)","(145, 0, 0.43960627)","(179, 0, 0.42141537)","(117, 0, 0.41498696)","(88, 0, 0.43600391)","(41, 0, 0.42437017)","(68, 0, 0.43250475)"
7,"(20, 0, 0.41587778)","(169, 0, 0.4333368)","(111, 0, 0.45064395)","(70, 0, 0.43971398)","(131, 0, 0.41413691)","(165, 0, 0.4216331)","(236, 0, 0.42774187)","(7, 0, 0.41437058)","(1, 0, 0.44685508)","(90, 0, 0.43227837)","(7, 0, 0.43779876)","(207, 0, 0.41158537)","(94, 0, 0.41210309)","(137, 0, 0.43545549)","(109, 0, 0.42200039)","(205, 0, 0.42907608)"
8,"(215, 0, 0.41357311)","(78, 0, 0.43010039)","(98, 0, 0.44772604)","(247, 0, 0.43593369)","(105, 0, 0.40940113)","(243, 0, 0.4157715)","(232, 0, 0.42602572)","(186, 0, 0.41381404)","(217, 0, 0.44521894)","(127, 0, 0.42941159)","(30, 0, 0.4370248)","(30, 0, 0.40647842)","(182, 0, 0.41039123)","(219, 0, 0.43530392)","(210, 0, 0.41979318)","(172, 0, 0.42836141)"
