,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"(43, 0, 0.85245976)","(126, 0, 0.85115855)","(21, 0, 0.86987613)","(22, 0, 0.73438953)","(40, 0, 0.83201813)","(174, 0, 0.85069264)","(210, 0, 0.8135435)","(166, 0, 0.85405947)","(171, 0, 0.68387993)","(247, 0, 0.79209174)","(21, 0, 0.93522077)","(136, 0, 0.88777799)","(8, 0, 0.76605384)","(207, 0, 0.81384373)","(79, 0, 0.7991171)","(60, 0, 0.80314955)"
1,"(75, 0, 0.54196725)","(127, 0, 0.58919677)","(20, 0, 0.69058094)","(23, 0, 0.71173668)","(41, 0, 0.69810186)","(3, 0, 0.53639541)","(211, 0, 0.65362336)","(145, 0, 0.51126877)","(170, 0, 0.65786868)","(246, 0, 0.61120936)","(20, 0, 0.68791473)","(137, 0, 0.58247058)","(9, 0, 0.5988711)","(206, 0, 0.59153813)","(78, 0, 0.66115854)","(61, 0, 0.61022347)"
2,"(104, 0, 0.52193854)","(168, 0, 0.54098701)","(160, 0, 0.55050415)","(152, 0, 0.51941885)","(182, 0, 0.54071852)","(175, 0, 0.51747003)","(166, 0, 0.5631297)","(157, 0, 0.50861221)","(173, 0, 0.51295864)","(238, 0, 0.52993869)","(206, 0, 0.53543594)","(216, 0, 0.52761035)","(55, 0, 0.51670262)","(219, 0, 0.56760992)","(129, 0, 0.51656748)","(28, 0, 0.54957327)"
3,"(199, 0, 0.52185423)","(116, 0, 0.52137313)","(40, 0, 0.54496208)","(42, 0, 0.51898945)","(135, 0, 0.50836671)","(29, 0, 0.51528088)","(121, 0, 0.55368269)","(122, 0, 0.49486579)","(193, 0, 0.50960167)","(3, 0, 0.52342015)","(178, 0, 0.53298718)","(67, 0, 0.52323811)","(156, 0, 0.50670794)","(120, 0, 0.54268873)","(255, 0, 0.50202057)","(245, 0, 0.54006396)"
4,"(103, 0, 0.52143217)","(255, 0, 0.50146324)","(55, 0, 0.5408646)","(207, 0, 0.51856228)","(77, 0, 0.50458419)","(191, 0, 0.50743163)","(208, 0, 0.55308247)","(112, 0, 0.491789)","(59, 0, 0.50458147)","(216, 0, 0.50946433)","(1, 0, 0.5272788)","(114, 0, 0.52189154)","(162, 0, 0.50142945)","(12, 0, 0.52516779)","(5, 0, 0.50123439)","(151, 0, 0.52613073)"
5,"(42, 0, 0.51982858)","(97, 0, 0.4997891)","(114, 0, 0.53395953)","(179, 0, 0.5131922)","(6, 0, 0.4986266)","(72, 0, 0.50342459)","(216, 0, 0.52074627)","(240, 0, 0.49046192)","(77, 0, 0.4984573)","(194, 0, 0.50289329)","(254, 0, 0.52117248)","(167, 0, 0.49814126)","(120, 0, 0.49694044)","(80, 0, 0.51878647)","(2, 0, 0.4988058)","(35, 0, 0.52220878)"
6,"(109, 0, 0.51951578)","(73, 0, 0.48903199)","(60, 0, 0.53226575)","(237, 0, 0.51284148)","(163, 0, 0.49633028)","(253, 0, 0.50329403)","(10, 0, 0.51326658)","(230, 0, 0.48898479)","(109, 0, 0.49347666)","(102, 0, 0.49028665)","(255, 0, 0.5121004)","(20, 0, 0.49620884)","(175, 0, 0.49365685)","(146, 0, 0.51832115)","(71, 0, 0.49864461)","(155, 0, 0.51364918)"
7,"(59, 0, 0.50730507)","(128, 0, 0.48680465)","(97, 0, 0.51065838)","(150, 0, 0.50732878)","(65, 0, 0.49463785)","(36, 0, 0.50114971)","(29, 0, 0.51166926)","(72, 0, 0.48493083)","(113, 0, 0.49296321)","(127, 0, 0.48843773)","(237, 0, 0.5120838)","(117, 0, 0.49105921)","(248, 0, 0.49134406)","(71, 0, 0.51097552)","(70, 0, 0.4967729)","(182, 0, 0.50414276)"
8,"(66, 0, 0.50102812)","(7, 0, 0.48541655)","(90, 0, 0.50921809)","(40, 0, 0.50629495)","(176, 0, 0.48514911)","(165, 0, 0.49759135)","(196, 0, 0.51003032)","(67, 0, 0.47936001)","(56, 0, 0.49060551)","(151, 0, 0.48591889)","(11, 0, 0.49680373)","(102, 0, 0.48433375)","(65, 0, 0.49045506)","(108, 0, 0.50651015)","(20, 0, 0.49579534)","(107, 0, 0.4946232)"
